StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
27026,,12,ADVHS01,Advisory HS,ADVHS01.32,9,E3,45,,,
27027,,12,L1302,Introduction to Law,L1302.2,2,A3;C1;D4,24,,,
27027,,12,A1204,Environmental Science,A1204.3,3,B3;D1;E5,13,,,
27027,,12,J1203,Tech. and Innovation for Social Change,J1203.1,4,B1;C4;E2,20,,,
27027,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27027,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27027,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
27027,,12,OI1305,Calculus,OI1305.1,8,B2;C5;E4,35,,,
27027,,12,ADVHS01,Advisory HS,ADVHS01.33,9,E3,46,,,
27028,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27028,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27028,,12,G1201,Español & Literatura 12,G1201.4,5,A1;B4;D2,6,,,
27028,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27028,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27028,,12,L1303,Pensar nuestro tiempo,L1303.1,8,B2;C5;E4,24,,,
27028,,12,ADVHS01,Advisory HS,ADVHS01.4,9,E3,6,,,
27029,,12,OI1303,Financial Math,OI1303.2,1,A5;C3;E1,4,,,
27029,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
27029,,12,A1204,Environmental Science,A1204.3,3,B3;D1;E5,13,,,
27029,,12,J1203,Tech. and Innovation for Social Change,J1203.1,4,B1;C4;E2,20,,,
27029,,12,L1304,Life Purpose,L1304.2,5,A1;B4;D2,24,,,
27029,,12,I1208,AP Calculus BC,I1208.1,6,A4;C2;D5,44,,,
27029,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
27029,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27029,,12,ADVHS01,Advisory HS,ADVHS01.32,9,E3,45,,,
27030,,12,J1203,Tech. and Innovation for Social Change,J1203.4,1,A5;C3;E1,22,,,
27030,,12,OA1322,AP Physics 2,OA1322.1,2,A3;C1;D4,31,,,
27030,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27030,,12,G1201,Español & Literatura 12,G1201.4,5,A1;B4;D2,6,,,
27030,,12,OI1305,Calculus,OI1305.3,6,A4;C2;D5,35,,,
27030,,12,L1304,Life Purpose,L1304.4,7,A2;B5;D3,33,,,
27030,,12,OH1306,Art of Fiction Higher Level,OH1306.2,8,B2;C5;E4,23,,,
27030,,12,ADVHS01,Advisory HS,ADVHS01.5,9,E3,7,,,
27032,,12,J1203,Tech. and Innovation for Social Change,J1203.4,1,A5;C3;E1,22,,,
27032,,12,OC1310,Painting II,OC1310.3,2,A3;C1;D4,46,,,
27032,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27032,,12,OA1317,AP Chemistry,OA1317.1,4,B1;C4;E2,38,,,
27032,,12,OH1306,Art of Fiction Higher Level,OH1306.1,5,A1;B4;D2,23,,,
27032,,12,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27032,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
27032,,12,OI1305,Calculus,OI1305.1,8,B2;C5;E4,35,,,
27032,,12,ADVHS01,Advisory HS,ADVHS01.21,9,E3,34,,,
27035,,12,L1304,Life Purpose,L1304.1,1,A5;C3;E1,24,,,
27035,,12,OA1322,AP Physics 2,OA1322.1,2,A3;C1;D4,31,,,
27035,,12,OH1306,Art of Fiction Higher Level,OH1306.3,3,B3;D1;E5,23,,,
27035,,12,E1201,Physical Education and Health 12,E1201.4,4,B1;C4;E2,30,,,
27035,,12,G1201,Español & Literatura 12,G1201.4,5,A1;B4;D2,6,,,
27035,,12,OI1303,Financial Math,OI1303.1,6,A4;C2;D5,4,,,
27035,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27035,,12,OI1305,Calculus,OI1305.1,8,B2;C5;E4,35,,,
27035,,12,ADVHS01,Advisory HS,ADVHS01.33,9,E3,46,,,
27036,,12,OI1303,Financial Math,OI1303.2,1,A5;C3;E1,4,,,
27036,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
27036,,12,G1201,Español & Literatura 12,G1201.2,3,B3;D1;E5,6,,,
27036,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27036,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27036,,12,L1302,Introduction to Law,L1302.1,6,A4;C2;D5,24,,,
27036,,12,I1204,AP Calculus AB,I1204.1,7,A2;B5;D3,44,,,
27036,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27036,,12,ADVHS01,Advisory HS,ADVHS01.34,9,E3,47,,,
27038,,12,J1203,Tech. and Innovation for Social Change,J1203.4,1,A5;C3;E1,22,,,
27038,,12,G1201,Español & Literatura 12,G1201.5,2,A3;C1;D4,25,,,
27038,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27038,,12,OI1305,Calculus,OI1305.4,4,B1;C4;E2,44,,,
27038,,12,L1302,Introduction to Law,L1302.1,6,A4;C2;D5,24,,,
27038,,12,A1204,Environmental Science,A1204.1,7,A2;B5;D3,13,,,
27038,,12,OH1306,Art of Fiction Higher Level,OH1306.2,8,B2;C5;E4,23,,,
27038,,12,ADVHS01,Advisory HS,ADVHS01.34,9,E3,47,,,
27040,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
27040,,12,OC1310,Painting II,OC1310.3,2,A3;C1;D4,46,,,
27040,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27040,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27040,,12,L1304,Life Purpose,L1304.2,5,A1;B4;D2,24,,,
27040,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27040,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
27040,,12,J1203,Tech. and Innovation for Social Change,J1203.3,8,B2;C5;E4,22,,,
