student_id,course_id,course_name,is_required
27023,I1208,AP Calculus BC,False
27067,OC1310,Painting II,False
27104,G1201,Español & Literatura 12,False
27140,OH1501,Journalism Higher Level,False
27027,OC1310,Painting II,False
27019,G1201,Español & Literatura 12,False
27018,OB1520,AP Statistics,False
27010,G1201,Español & Literatura 12,False
27142,OB1520,AP Statistics,False
27160,G1201,Español & Literatura 12,False
27130,OH1501,Journalism Higher Level,False
26106,OI1305,Calculus,False
27025,A1204,Environmental Science,False
27131,OB1520,AP Statistics,False
27054,G1201,Español & Literatura 12,False
27052,OC1310,Painting II,False
27123,OA1318,AP Environmental Science,False
27043,A1204,Environmental Science,False
27073,H1201B,AP English Literature and Composition,False
27129,I1215,AP 3-D Art and Design,False
27151,OB1532,AP Research,False
27151,OZ1313,AP Computer Science A,False
27101,L1303,Pensar nuestro tiempo,False
27032,OA1317,AP Chemistry,False
27126,OC1310,Painting II,False
27124,I1208,AP Calculus BC,False
27124,H1201B,AP English Literature and Composition,False
27134,H1201B,AP English Literature and Composition,False
27003,C0905,Band Level II,False
27002,L1304,Life Purpose,False
27109,I1208,AP Calculus BC,False
27109,H1201B,AP English Literature and Composition,False
